"I","PI0","PI1","QI","LI","TI"
69,43.5,43.5,-82.3,11,9
70,43.56,43.56,-40,11,9
71,44,44,-50,11,9
72,44.17,44.17,-340,11,9
73,44.18,44.18,-90,11,9
74,44.2,44.2,-50,11,9
75,44.4,44.4,-50,11,9
76,44.6,44.6,-50,11,9
77,44.84,44.84,-68.9,11,9
78,45,45,-64.3,11,9
79,45.01,45.01,-41,11,9
80,45.2,45.2,-50,11,9
81,45.4,45.4,-50,11,9
82,45.53,45.53,-68.9,11,9
83,45.6,45.6,-50,11,9
84,46.52,46.52,-100,11,9
85,47.5,47.5,-0.1,11,9
86,47.51,47.51,-100,11,9
87,48.52,48.52,-100,11,9
88,50.02,50.02,-20,11,9
89,50.5,50.5,-0.1,11,9
90,50.9,50.9,-287.8,11,9
91,55.13,55.13,-45,11,9
92,60.03,60.03,-12,11,9
93,60.13,60.13,-45,11,9
94,65.5,65.5,-10,11,9
95,70,70,-29.9,11,9
96,70.04,70.04,-17.4,11,9
97,70.13,70.13,-45,11,9
98,72.7,72.7,-61.5,11,9
99,73.34,73.34,-12,11,9
100,73.38,73.38,-17.4,11,9
101,73.5,73.5,-35,11,9
102,75.6,75.6,-44.8,11,9
103,76.69,76.69,-12,11,9
104,76.73,76.73,-17.4,11,9
105,79.5,79.5,-10,11,9
106,80.03,80.03,-12,11,9
107,80.07,80.07,-17.6,11,9
108,130.01,130.01,-4,11,9
109,133.12,133.12,-192,11,9
110,145,145,-24.1,11,9
111,145.01,145.01,-11.3,11,9
112,160,160,-1728.4,11,9
113,180,180,-694.9,11,9
114,180.3,180.3,-57.1,11,9
115,0,0,-13599.8,11,10
116,0.1,0.1,-1,11,10
117,0.6,0.6,-11,11,10
118,0.7,0.7,-16.7,11,10
119,1,1,-480.7,11,10
120,1.5,1.5,-148.5,11,10
121,2.5,2.5,-111.3,11,10
122,4.5,4.5,-261.9,11,10
123,5,5,-300,11,10
124,6,6,-78.1,11,10
125,7.7,7.7,-86.5,11,10
126,8.4,8.4,-86.5,11,10
127,9.2,9.2,-86.5,11,10
128,10.4,10.4,-86.5,11,10
129,12.02,12.02,-17,11,10
130,14.01,14.01,-72,11,10
131,15,15,-0.1,11,10
132,15.5,15.5,-26.2,11,10
133,16,16,-27.5,11,10
134,16.25,16.25,-1,11,10
135,17.02,17.02,-19,11,10
136,18.01,18.01,-114,11,10
137,18.8,18.8,-73,11,10
138,20,20,-73,11,10
139,21,21,-7.8,11,10
140,24,24,-84.8,11,10
141,24.3,24.3,-69.4,11,10
142,25,25,-50,11,10
143,25.4,25.4,-69.4,11,10
144,26,26,-4.9,11,10
145,26.8,26.8,-6.8,11,10
146,28,28,-80,11,10
147,28.03,28.03,-12,11,10
148,29.01,29.01,-80,11,10
149,29.9,29.9,-182.6,11,10
150,30,30,-60.5,11,10
151,30.01,30.01,-20,11,10
152,31,31,-182.6,11,10
153,31.5,31.5,-80,11,10
154,32.03,32.03,-34,11,10
155,34.02,34.02,-28,11,10
156,34.2,34.2,-182.6,11,10
157,34.5,34.5,-367.8,11,10
158,34.6,34.6,-287.8,11,10
159,35,35,-2,11,10
160,35.03,35.03,-30,11,10
161,35.5,35.5,-65,11,10
162,35.7,35.7,-207.7,11,10
163,36.01,36.01,-204,11,10
164,36.5,36.5,-81.9,11,10
165,38.01,38.01,-121.9,11,10
166,39,39,-207.7,11,10
167,39.01,39.01,-22,11,10
168,39.52,39.52,-81.9,11,10
169,40,40,-114.9,11,10
170,40.03,40.03,-4,11,10
171,40.4,40.4,-287.8,11,10
172,40.69,40.69,-75,11,10
173,41,41,-72.5,11,10
174,41.03,41.03,-81.6,11,10
175,41.26,41.26,-351,11,10
176,41.5,41.5,-72.5,11,10
177,41.8,41.8,-50,11,10
178,42,42,-50,11,10
179,42.02,42.02,-30,11,10
180,42.2,42.2,-50,11,10
181,42.38,42.38,-90,11,10
182,42.4,42.4,-50,11,10
183,42.5,42.5,-0.1,11,10
184,43.03,43.03,-7,11,10
185,43.28,43.28,-90,11,10
186,43.5,43.5,-82.3,11,10
187,43.56,43.56,-40,11,10
188,43.68,43.68,-75,11,10
189,44,44,-50,11,10
190,44.17,44.17,-340,11,10
191,44.18,44.18,-90,11,10
192,44.2,44.2,-50,11,10
193,44.4,44.4,-50,11,10
194,44.6,44.6,-50,11,10
195,44.84,44.84,-68.9,11,10
196,45,45,-64.3,11,10
197,45.01,45.01,-41,11,10
198,45.2,45.2,-50,11,10
199,45.4,45.4,-50,11,10
200,45.53,45.53,-68.9,11,10
201,45.6,45.6,-50,11,10
202,46.52,46.52,-100,11,10
203,46.67,46.67,-75,11,10
204,47.5,47.5,-0.1,11,10
205,47.51,47.51,-100,11,10
206,48.52,48.52,-100,11,10
207,50.02,50.02,-20,11,10
208,50.5,50.5,-0.1,11,10
209,50.9,50.9,-287.8,11,10
210,55.13,55.13,-45,11,10
211,60.03,60.03,-12,11,10
212,60.13,60.13,-45,11,10
213,65.5,65.5,-10,11,10
214,70,70,-33.8,11,10
215,70.04,70.04,-17.4,11,10
216,70.13,70.13,-45,11,10
217,72.7,72.7,-61.5,11,10
218,73.34,73.34,-12,11,10
219,73.38,73.38,-17.4,11,10
220,73.5,73.5,-35,11,10
221,75.6,75.6,-44.8,11,10
222,76.69,76.69,-12,11,10
223,76.73,76.73,-17.4,11,10
224,79.5,79.5,-10,11,10
225,80.03,80.03,-12,11,10
226,80.07,80.07,-17.6,11,10
227,130.01,130.01,-4,11,10
228,133.12,133.12,-192,11,10
229,145,145,-24.1,11,10
230,145.01,145.01,-11.3,11,10
231,160,160,-1686.4,11,10
232,180,180,-694.9,11,10
233,180.3,180.3,-57.1,11,10
234,0,0,-14432.2,11,11
235,0.1,0.1,-1,11,11
236,0.6,0.6,-11,11,11
237,0.7,0.7,-12.5,11,11
238,1,1,-524.9,11,11
239,1.5,1.5,-136.1,11,11
240,2.5,2.5,-96.1,11,11
241,4.5,4.5,-300.6,11,11
242,5,5,-300,11,11
243,6,6,-42,11,11
244,7.7,7.7,-86.5,11,11
245,8.4,8.4,-86.5,11,11
246,9.2,9.2,-86.5,11,11
247,10.4,10.4,-86.5,11,11
248,12.02,12.02,-17,11,11
249,14.01,14.01,-72,11,11
250,15,15,-0.1,11,11
251,15.5,15.5,-26.2,11,11
252,16,16,-27.5,11,11
253,16.25,16.25,-1.5,11,11
254,17.02,17.02,-19,11,11
255,18.01,18.01,-114,11,11
256,18.8,18.8,-73,11,11
257,20,20,-73,11,11
258,21,21,-7.8,11,11
259,24,24,-84.8,11,11
260,25,25,-50,11,11
261,26,26,-4.9,11,11
262,26.8,26.8,-6.8,11,11
263,28,28,-80,11,11
264,28.03,28.03,-12,11,11
265,29.01,29.01,-80,11,11
266,29.9,29.9,-182.6,11,11
267,30,30,-60.5,11,11
268,30.01,30.01,-20,11,11
269,31,31,-182.6,11,11
270,31.5,31.5,-80,11,11
271,32.03,32.03,-34,11,11
272,34.02,34.02,-28,11,11
273,34.2,34.2,-182.6,11,11
274,34.5,34.5,-367.8,11,11
275,34.6,34.6,-287.8,11,11
276,35,35,-2,11,11
277,35.03,35.03,-30,11,11
278,35.5,35.5,-65,11,11
279,35.7,35.7,-207.7,11,11
280,36.01,36.01,-204,11,11
281,36.5,36.5,-81.7,11,11
282,38.01,38.01,-121.7,11,11
283,39,39,-207.7,11,11
284,39.01,39.01,-22,11,11
285,39.52,39.52,-81.7,11,11
286,39.55,39.55,-75,11,11
287,40,40,-114.9,11,11
288,40.03,40.03,-4,11,11
289,40.4,40.4,-287.8,11,11
290,41,41,-72.5,11,11
291,41.03,41.03,-81.7,11,11
292,41.26,41.26,-351,11,11
293,41.5,41.5,-72.5,11,11
294,41.8,41.8,-50,11,11
295,42,42,-50,11,11
296,42.02,42.02,-30,11,11
297,42.2,42.2,-50,11,11
298,42.38,42.38,-90,11,11
299,42.4,42.4,-50,11,11
300,42.5,42.5,-0.1,11,11
301,42.54,42.54,-75,11,11
302,43.03,43.03,-7,11,11
303,43.28,43.28,-90,11,11
304,43.5,43.5,-82.3,11,11
305,43.56,43.56,-40,11,11
306,44,44,-50,11,11
307,44.17,44.17,-340,11,11
308,44.18,44.18,-90,11,11
309,44.2,44.2,-50,11,11
310,44.4,44.4,-50,11,11
311,44.6,44.6,-50,11,11
312,44.84,44.84,-68.9,11,11
313,45,45,-64.3,11,11
314,45.01,45.01,-41,11,11
315,45.2,45.2,-50,11,11
316,45.4,45.4,-50,11,11
317,45.53,45.53,-143.9,11,11
318,45.6,45.6,-50,11,11
319,46.52,46.52,-100,11,11
320,47.5,47.5,-0.1,11,11
321,47.51,47.51,-100,11,11
322,48.52,48.52,-100,11,11
323,50.02,50.02,-20,11,11
324,50.5,50.5,-0.1,11,11
325,50.9,50.9,-287.8,11,11
326,55.13,55.13,-45,11,11
327,60.03,60.03,-12,11,11
328,60.13,60.13,-45,11,11
329,65.5,65.5,-10,11,11
330,70,70,-33.9,11,11
331,70.04,70.04,-17.4,11,11
332,70.13,70.13,-45,11,11
333,73.34,73.34,-12,11,11
334,73.38,73.38,-17.4,11,11
335,73.5,73.5,-35,11,11
336,75.6,75.6,-44.8,11,11
337,76.69,76.69,-12,11,11
338,76.73,76.73,-17.4,11,11
339,79.5,79.5,-10,11,11
340,80.03,80.03,-12,11,11
341,80.07,80.07,-17.6,11,11
342,130.01,130.01,-4,11,11
343,133.12,133.12,-192,11,11
344,145,145,-24.1,11,11
345,145.01,145.01,-11.3,11,11
346,160,160,-1450.2,11,11
347,180,180,-694.9,11,11
348,180.3,180.3,-57.1,11,11
349,0,0,-14793,11,12
350,0.1,0.1,-1,11,12
351,0.6,0.6,-11,11,12
352,0.7,0.7,-10.2,11,12
353,1,1,-516.9,11,12
354,1.5,1.5,-135.5,11,12
355,2.5,2.5,-83.6,11,12
356,4.5,4.5,-285.6,11,12
357,5,5,-300,11,12
358,6,6,-21,11,12
359,7.7,7.7,-86.5,11,12
360,8.4,8.4,-86.5,11,12
361,9.2,9.2,-86.5,11,12
362,10.4,10.4,-86.5,11,12
363,12.02,12.02,-17,11,12
364,14.01,14.01,-72,11,12
365,15,15,-0.1,11,12
366,15.5,15.5,-26.2,11,12
367,16,16,-27.5,11,12
368,16.25,16.25,-2.5,11,12
369,17.02,17.02,-19,11,12
370,18.01,18.01,-114,11,12
371,18.8,18.8,-73,11,12
372,20,20,-73,11,12
373,21,21,-7.8,11,12
374,24,24,-84.8,11,12
375,25,25,-50,11,12
376,26,26,-4.9,11,12
377,26.8,26.8,-6.8,11,12
378,28,28,-142,11,12
379,28.03,28.03,-23,11,12
380,29.01,29.01,-80,11,12
381,29.9,29.9,-182.6,11,12
382,30,30,-54.1,11,12
383,30.01,30.01,-20,11,12
384,31,31,-182.6,11,12
385,31.5,31.5,-80,11,12
386,32.03,32.03,-34,11,12
387,33,33,-34.1,11,12
388,34.02,34.02,-28,11,12
389,34.2,34.2,-182.6,11,12
390,34.5,34.5,-367.8,11,12
391,34.6,34.6,-287.8,11,12
392,35,35,-0.3,11,12
393,35.03,35.03,-30,11,12
394,35.5,35.5,-65,11,12
395,35.7,35.7,-207.7,11,12
396,36.01,36.01,-204,11,12
397,36.5,36.5,-83,11,12
398,38,38,-25,11,12
399,38.01,38.01,-123,11,12
400,39,39,-207.7,11,12
401,39.01,39.01,-22,11,12
402,39.41,39.41,-75,11,12
403,39.52,39.52,-83,11,12
404,40,40,-113.4,11,12
405,40.03,40.03,-4,11,12
406,40.4,40.4,-287.8,11,12
407,41,41,-72.5,11,12
408,41.03,41.03,-83,11,12
409,41.26,41.26,-351,11,12
410,41.5,41.5,-72.5,11,12
411,41.8,41.8,-50,11,12
412,42,42,-50,11,12
413,42.02,42.02,-30,11,12
414,42.2,42.2,-50,11,12
415,42.38,42.38,-90,11,12
416,42.4,42.4,-125,11,12
417,42.5,42.5,-0.1,11,12
418,43.03,43.03,-7,11,12
419,43.28,43.28,-90,11,12
420,43.5,43.5,-82.3,11,12
421,43.56,43.56,-40,11,12
422,44,44,-50,11,12
423,44.17,44.17,-340,11,12
424,44.18,44.18,-90,11,12
425,44.2,44.2,-50,11,12
426,44.4,44.4,-50,11,12
427,44.6,44.6,-50,11,12
428,44.84,44.84,-68.9,11,12
429,45,45,-64.3,11,12
430,45.01,45.01,-41,11,12
431,45.2,45.2,-50,11,12
432,45.39,45.39,-75,11,12
433,45.4,45.4,-50,11,12
434,45.53,45.53,-68.9,11,12
435,45.6,45.6,-50,11,12
436,46.52,46.52,-100,11,12
437,47.5,47.5,-0.1,11,12
438,47.51,47.51,-100,11,12
439,48.52,48.52,-100,11,12
440,50.02,50.02,-20,11,12
441,50.5,50.5,-0.1,11,12
442,50.9,50.9,-287.8,11,12
443,55.13,55.13,-45,11,12
444,60.03,60.03,-1,11,12
445,60.13,60.13,-45,11,12
446,65.5,65.5,-10,11,12
447,70,70,-33.9,11,12
448,70.04,70.04,-17.4,11,12
449,70.13,70.13,-45,11,12
450,73.34,73.34,-12,11,12
451,73.38,73.38,-17.4,11,12
452,73.5,73.5,-35,11,12
453,75.6,75.6,-98.8,11,12
454,76.69,76.69,-12,11,12
455,76.73,76.73,-17.4,11,12
456,79.5,79.5,-10,11,12
457,80.03,80.03,-12,11,12
458,80.07,80.07,-17.6,11,12
459,130.01,130.01,-4,11,12
460,133.12,133.12,-192,11,12
461,145,145,-24.1,11,12
462,145.01,145.01,-11.3,11,12
463,160,160,-1077.2,11,12
464,180,180,-694.9,11,12
465,180.3,180.3,-57.1,11,12
466,0,0,-14322.9,11,13
467,0.1,0.1,-1,11,13
468,0.6,0.6,-11,11,13
469,0.7,0.7,-6.8,11,13
470,1,1,-483.6,11,13
471,1.5,1.5,-128.6,11,13
472,2.5,2.5,-67.1,11,13
473,4.5,4.5,-221.1,11,13
474,5,5,-300,11,13
475,6,6,-12.6,11,13
476,7.7,7.7,-86.5,11,13
477,8.4,8.4,-86.5,11,13
478,9.2,9.2,-86.5,11,13
479,10.4,10.4,-86.5,11,13
480,12.02,12.02,-17,11,13
481,14.01,14.01,-72,11,13
482,15,15,-0.1,11,13
483,15.5,15.5,-26.2,11,13
484,16,16,-27.5,11,13
485,16.25,16.25,-3.9,11,13
486,17.02,17.02,-19,11,13
487,18.01,18.01,-114,11,13
488,18.8,18.8,-73,11,13
489,20,20,-73,11,13
490,21,21,-7.8,11,13
491,24,24,-84.8,11,13
492,25,25,-112,11,13
493,26,26,-4.9,11,13
494,26.8,26.8,-6.8,11,13
495,28,28,-80,11,13
496,28.03,28.03,-23,11,13
497,29.01,29.01,-80,11,13
498,29.9,29.9,-182.6,11,13
499,30,30,-89,11,13
500,30.01,30.01,-20,11,13
501,31,31,-182.6,11,13
502,31.5,31.5,-80,11,13
503,32.03,32.03,-34,11,13
504,34.02,34.02,-28,11,13
505,34.2,34.2,-182.6,11,13
506,34.5,34.5,-367.8,11,13
507,34.6,34.6,-287.8,11,13
508,35,35,-26.5,11,13
509,35.03,35.03,-30,11,13
510,35.5,35.5,-65,11,13
511,35.7,35.7,-207.7,11,13
512,36.01,36.01,-204,11,13
513,36.5,36.5,-80.7,11,13
514,36.78,36.78,-75,11,13
515,38.01,38.01,-120.7,11,13
516,39,39,-207.7,11,13
517,39.01,39.01,-22,11,13
518,39.52,39.52,-80.7,11,13
519,39.77,39.77,-75,11,13
520,40,40,-113.4,11,13
521,40.03,40.03,-4,11,13
522,40.4,40.4,-287.8,11,13
523,41,41,-72.5,11,13
524,41.03,41.03,-80.6,11,13
525,41.26,41.26,-351,11,13
526,41.5,41.5,-72.5,11,13
527,41.8,41.8,-50,11,13
528,42,42,-50,11,13
529,42.02,42.02,-30,11,13
530,42.2,42.2,-50,11,13
531,42.38,42.38,-90,11,13
532,42.4,42.4,-50,11,13
533,42.5,42.5,-0.1,11,13
534,42.76,42.76,-75,11,13
535,43.03,43.03,-7,11,13
536,43.28,43.28,-90,11,13
537,43.5,43.5,-82.3,11,13
538,43.56,43.56,-40,11,13
539,44,44,-50,11,13
540,44.17,44.17,-340,11,13
541,44.18,44.18,-90,11,13
542,44.2,44.2,-50,11,13
543,44.4,44.4,-50,11,13
544,44.6,44.6,-50,11,13
545,44.84,44.84,-68.9,11,13
546,45,45,-64.3,11,13
547,45.01,45.01,-41,11,13
548,45.2,45.2,-50,11,13
549,45.4,45.4,-50,11,13
550,45.53,45.53,-68.9,11,13
551,45.6,45.6,-50,11,13
552,46.52,46.52,-100,11,13
553,47.5,47.5,-0.1,11,13
554,47.51,47.51,-100,11,13
555,48.52,48.52,-100,11,13
556,50.02,50.02,-20,11,13
557,50.5,50.5,-0.1,11,13
558,50.9,50.9,-287.8,11,13
559,55.13,55.13,-45,11,13
560,60.03,60.03,-1,11,13
561,60.13,60.13,-45,11,13
562,65.5,65.5,-10,11,13
563,70,70,-33.9,11,13
564,70.04,70.04,-17.4,11,13
565,70.13,70.13,-45,11,13
566,73.34,73.34,-12,11,13
567,73.38,73.38,-17.4,11,13
568,73.5,73.5,-35,11,13
569,75.6,75.6,-83.4,11,13
570,76.69,76.69,-12,11,13
571,76.73,76.73,-17.4,11,13
572,79.5,79.5,-10,11,13
573,80.03,80.03,-12,11,13
574,80.07,80.07,-17.6,11,13
575,130.01,130.01,-4,11,13
576,133.12,133.12,-192,11,13
577,145,145,-24.1,11,13
578,145.01,145.01,-11.3,11,13
579,160,160,-1077.2,11,13
580,180,180,-694.9,11,13
581,180.3,180.3,-57.1,11,13
582,0,0,-14247.6,11,14
583,0.1,0.1,-1,11,14
584,0.6,0.6,-11,11,14
585,0.7,0.7,-6.5,11,14
586,1,1,-435.3,11,14
587,1.5,1.5,-123.7,11,14
588,2.5,2.5,-50.8,11,14
589,4.5,4.5,-165.5,11,14
590,5,5,-300,11,14
591,6,6,-7.5,11,14
592,7.7,7.7,-86.5,11,14
593,8.4,8.4,-86.5,11,14
594,9.2,9.2,-86.5,11,14
595,10.4,10.4,-86.5,11,14
596,12.02,12.02,-17,11,14
597,14.01,14.01,-72,11,14
598,15,15,-0.1,11,14
599,15.5,15.5,-26.2,11,14
600,16,16,-27.5,11,14
601,16.25,16.25,-6.2,11,14
602,17.02,17.02,-19,11,14
603,18.01,18.01,-114,11,14
604,18.8,18.8,-73,11,14
605,20,20,-73,11,14
606,21,21,-7.8,11,14
607,24,24,-84.8,11,14
608,25,25,-112,11,14
609,26,26,-4.9,11,14
610,26.8,26.8,-6.8,11,14
611,28,28,-80,11,14
612,28.03,28.03,-23,11,14
613,29.01,29.01,-80,11,14
614,29.9,29.9,-182.6,11,14
615,30,30,-89,11,14
616,30.01,30.01,-20,11,14
617,31,31,-182.6,11,14
618,31.5,31.5,-80,11,14
619,32.03,32.03,-34,11,14
620,34.02,34.02,-28,11,14
621,34.2,34.2,-182.6,11,14
622,34.5,34.5,-367.8,11,14
623,34.6,34.6,-287.8,11,14
624,35,35,-27.8,11,14
625,35.03,35.03,-30,11,14
626,35.5,35.5,-65,11,14
627,35.7,35.7,-207.7,11,14
628,36.01,36.01,-204,11,14
629,36.3,36.3,-75,11,14
630,36.5,36.5,-80.6,11,14
631,38.01,38.01,-120.6,11,14
632,39,39,-207.7,11,14
633,39.01,39.01,-22,11,14
634,39.29,39.29,-75,11,14
635,39.52,39.52,-80.6,11,14
636,40,40,-113.4,11,14
637,40.03,40.03,-4,11,14
638,40.4,40.4,-287.8,11,14
639,41,41,-72.5,11,14
640,41.03,41.03,-80.4,11,14
641,41.26,41.26,-351,11,14
642,41.5,41.5,-72.5,11,14
643,41.8,41.8,-50,11,14
644,42,42,-50,11,14
645,42.02,42.02,-30,11,14
646,42.2,42.2,-50,11,14
647,42.28,42.28,-75,11,14
648,42.38,42.38,-90,11,14
649,42.4,42.4,-50,11,14
650,42.5,42.5,-0.1,11,14
651,43.03,43.03,-7,11,14
652,43.28,43.28,-90,11,14
653,43.5,43.5,-82.3,11,14
654,43.56,43.56,-40,11,14
655,44,44,-50,11,14
656,44.17,44.17,-340,11,14
657,44.18,44.18,-90,11,14
658,44.2,44.2,-50,11,14
659,44.4,44.4,-50,11,14
660,44.6,44.6,-50,11,14
661,44.84,44.84,-68.9,11,14
662,45,45,-64.3,11,14
663,45.01,45.01,-41,11,14
664,45.2,45.2,-50,11,14
665,45.4,45.4,-50,11,14
666,45.53,45.53,-68.9,11,14
667,45.6,45.6,-50,11,14
668,46.52,46.52,-100,11,14
669,47.5,47.5,-0.1,11,14
670,47.51,47.51,-100,11,14
671,48.52,48.52,-100,11,14
672,50.02,50.02,-20,11,14
673,50.5,50.5,-0.1,11,14
674,50.9,50.9,-287.8,11,14
675,55.13,55.13,-45,11,14
676,60.03,60.03,-1,11,14
677,60.13,60.13,-45,11,14
678,65.5,65.5,-10,11,14
679,70,70,-33.9,11,14
680,70.04,70.04,-17.4,11,14
681,70.13,70.13,-45,11,14
682,73.34,73.34,-12,11,14
683,73.38,73.38,-17.4,11,14
684,73.5,73.5,-35,11,14
685,75.6,75.6,-98.8,11,14
686,76.69,76.69,-12,11,14
687,76.73,76.73,-17.4,11,14
688,79.5,79.5,-10,11,14
689,80.03,80.03,-12,11,14
690,80.07,80.07,-17.6,11,14
691,130.01,130.01,-4,11,14
692,133.12,133.12,-192,11,14
693,145,145,-24.1,11,14
694,145.01,145.01,-11.3,11,14
695,160,160,-1023.2,11,14
696,180,180,-694.9,11,14
697,180.3,180.3,-57.1,11,14
698,0,0,-14051.7,11,15
699,0.01,0.01,-90,11,15
700,0.1,0.1,-1,11,15
701,0.6,0.6,-11,11,15
702,0.7,0.7,-6.5,11,15
703,1,1,-393.2,11,15
704,1.5,1.5,-109.9,11,15
705,2.5,2.5,-42.1,11,15
706,4.5,4.5,-130.4,11,15
707,5,5,-300,11,15
708,6,6,-5.6,11,15
709,7.7,7.7,-86.5,11,15
710,8.4,8.4,-86.5,11,15
711,9.2,9.2,-86.5,11,15
712,10.07,10.07,-20,11,15
713,10.4,10.4,-86.5,11,15
714,12.02,12.02,-17,11,15
715,14.01,14.01,-72,11,15
716,15,15,-0.1,11,15
717,15.5,15.5,-26.2,11,15
718,16,16,-27.5,11,15
719,16.25,16.25,-8.6,11,15
720,17.02,17.02,-19,11,15
721,18.01,18.01,-114,11,15
722,18.8,18.8,-73,11,15
723,20,20,-73,11,15
724,20.13,20.13,-20,11,15
725,21,21,-7.8,11,15
726,22.13,22.13,-20,11,15
727,24,24,-84.8,11,15
728,25,25,-112,11,15
729,26,26,-4.9,11,15
730,26.8,26.8,-6.8,11,15
731,28,28,-80,11,15
732,28.03,28.03,-23,11,15
733,29.01,29.01,-80,11,15
734,29.9,29.9,-182.6,11,15
735,30,30,-89,11,15
736,30.01,30.01,-20,11,15
737,31,31,-182.6,11,15
738,31.5,31.5,-80,11,15
739,32.03,32.03,-34,11,15
740,34.02,34.02,-28,11,15
741,34.2,34.2,-182.6,11,15
742,34.5,34.5,-367.8,11,15
743,34.6,34.6,-287.8,11,15
744,35,35,-29.2,11,15
745,35.03,35.03,-30,11,15
746,35.5,35.5,-65,11,15
747,35.7,35.7,-207.7,11,15
748,35.91,35.91,-75,11,15
749,36.01,36.01,-204,11,15
750,36.5,36.5,-80.3,11,15
751,38.01,38.01,-120.3,11,15
752,38.9,38.9,-75,11,15
753,39,39,-207.7,11,15
754,39.01,39.01,-22,11,15
755,39.52,39.52,-80.3,11,15
756,40,40,-113.4,11,15
757,40.03,40.03,-4,11,15
758,40.4,40.4,-287.8,11,15
759,41,41,-72.5,11,15
760,41.03,41.03,-80.4,11,15
761,41.26,41.26,-351,11,15
762,41.5,41.5,-72.5,11,15
763,41.8,41.8,-50,11,15
764,41.89,41.89,-75,11,15
765,42,42,-50,11,15
766,42.02,42.02,-30,11,15
767,42.2,42.2,-50,11,15
768,42.38,42.38,-90,11,15
769,42.4,42.4,-50,11,15
770,42.5,42.5,-0.1,11,15
771,43.03,43.03,-7,11,15
772,43.28,43.28,-90,11,15
773,43.5,43.5,-82.3,11,15
774,43.56,43.56,-40,11,15
775,44,44,-50,11,15
776,44.17,44.17,-340,11,15
777,44.18,44.18,-90,11,15
778,44.2,44.2,-50,11,15
779,44.4,44.4,-50,11,15
780,44.6,44.6,-50,11,15
781,44.84,44.84,-68.9,11,15
782,45,45,-64.3,11,15
783,45.01,45.01,-41,11,15
784,45.2,45.2,-50,11,15
785,45.4,45.4,-50,11,15
786,45.53,45.53,-68.9,11,15
787,45.6,45.6,-50,11,15
788,46.52,46.52,-100,11,15
789,47.5,47.5,-0.1,11,15
790,47.51,47.51,-100,11,15
791,48.52,48.52,-100,11,15
792,50.02,50.02,-20,11,15
793,50.5,50.5,-0.1,11,15
794,50.9,50.9,-287.8,11,15
795,55.13,55.13,-45,11,15
796,60.03,60.03,-1,11,15
797,60.13,60.13,-45,11,15
798,65.5,65.5,-10,11,15
799,70,70,-33.9,11,15
800,70.04,70.04,-46,11,15
801,70.13,70.13,-45,11,15
802,73.34,73.34,-12,11,15
803,73.38,73.38,-46,11,15
804,73.5,73.5,-45,11,15
805,75.6,75.6,-85.5,11,15
806,76.69,76.69,-12,11,15
807,76.73,76.73,-46,11,15
808,79.5,79.5,-10,11,15
809,80.03,80.03,-12,11,15
810,80.07,80.07,-45.8,11,15
811,130.01,130.01,-4,11,15
812,133.12,133.12,-192,11,15
813,145,145,-25.1,11,15
814,145.01,145.01,-11.3,11,15
815,160,160,-1056.2,11,15
816,180,180,-694.9,11,15
817,180.3,180.3,-57.1,11,15
